//Dictionary
a	nho, mot it
lump	cuc, tang, mieng; cai buou
lunch	bua an trua
lung	phoi
machine	may, may moc
machinery	may moc, thiet bi
mad	dien, mat tri; buc dien nguoi
magazine	tap chi
magic	ma thuat, ao thuat; (thuoc) ma thuat, ao thuat
mail	thu tu, buu kien; gui qua buu dien
main	chinh, chu yeu, trong yeu nhat
mainly	chinh, chu yeu, phan lon
maintain	giu gin, duy tri, bao ve
major	lon, nhieu hon, trong dai, chu yeu
majority	phan lon, da so, uu the
make	lam, che tao; su che tao. make sth up: lam thanh, cau thanh, gop thanh
male	trai, trong, duc; con trai, dan ong, con trong, duc
mall	bua
man	con nguoi; dan ong
manage	quan ly, trong nom, dieu khien
management	su quan ly, su trong nom, su dieu khien
manager	nguoi quan ly, giam doc
manner	cach, loi, kieu; dang, ve, thai do
manufacture	san xuat, che tao
manufacturer	nguoi che tao, nguoi san xuat
manufacturing	su san xuat, su che tao
many	nhieu
map	ban do
march	thang ba
mark	dau, nhan, nhan mac; danh dau, ghi dau
market	cho, thi truong
marketing	ma-ket-tinh
marriage	su cuoi xin, su ket hon, le cuoi
married	cuoi, ket hon
marry	cuoi (vo), lay (chong)
mass	khoi, khoi luong; quan chung, dai chung
massive	to lon, do so
master	chu, chu nhan, thay giao, thac si
match	tran thi dau, doi thu, dich thu; doi choi, sanh duoc
matching	tinh dich thu, thi dau
mate	ban, ban nghe; giao phoi
material	nguyen vat lieu; vat chat, huu hinh
mathematics	toan hoc, mon toan
matter	chat, vat chat; co y nghia, co tinh chat quan trong
maximum	cuc do, toi da; tri so cuc dai, luong cuc dai, cuc do
may	thang 5, co the, co le
maybe	co the, co le
mayor	thi truong
me	toi, tao, to
meal	bua an
mean	nghia, co nghia la
meaning	y, y nghia
means	cua cai, tai san, phuong tien. by means: of bang phuong tien
meanwhile	trong luc do, trong luc ay
measure	do, do luong; su do luong, don vi do luong
measurement	su do luong, phep do
meat	thit
media	phuong tien truyen thong dai chung
medical	(thuoc) y hoc
medicine	y hoc, y khoa; thuoc
medium	trung binh, trung, vua; su trung gian, su moi gioi
meet	gap, gap go
meeting	cuoc mit tinh, cuoc bieu tinh
melt	tan ra, chay ra; lam tan chay ra
member	thanh vien, hoi vien
membership	tu cach hoi vien, dia vi hoi vien
memory	bo nho, tri nho, ki niem. in memory of: su tuong nho
mental	(thuoc) tri tue, tri oc; mat tri
mentally	ve mat tinh than
mention	ke ra, noi den, de cap
menu	thuc don
mere	chi la
merely	chi, don thuan
mess	tinh trang bua bon, tinh trang lon xon; nguoi nhech nhac, ban thiu
message	tin nhan, thu tin, dien thong bao, thong diep
metal	kim loai
method	phuong phap, cach thuc
metre	met
midday	trua, buoi trua
middle	giua, o giua
midnight	nua dem, 12h dem
might	qk. may co the, co le
mild	nhe, em diu, on hoa
mile	dam (do luong)
military	(thuoc) quan doi, quan su
milk	sua
milligram	mi-li-gam
mind	tam tri, tinh than, tri tue; chu y, de y, cham soc, quan tam
mine	cua toi
mineral	cong nhan, tho mo; khoang
minimum	toi thieu; so luong toi thieu, muc toi thieu
minister	bo truong
ministry	bo
minor	nho hon, thu yeu, khong quan trong
minority	phan it, thieu so
minute	phut
mirror	guong
miss	lo, truot; su truot, su thieu vang
missing	vang, thieu, that lac
mistake	loi, sai lam, loi lam; pham loi, pham sai lam
mistaken	sai lam, hieu lam
mix	pha, tron lan; su pha tron
mixed	lan lon, pha tron
mixture	su pha tron, su hon hop
mobile	chuyen dong, di dong
model	mau, kieu mau
modern	hien dai, tan tien
moment	choc, lat
monday	thu 2
money	tien
monitor	lop truong, man hinh may tinh; nghe, ghi phat thanh, giam sat
month	thang
mood	loi, thuc, dieu, tam trang, tinh khi
moon	mat trang
moral	(thuoc) dao duc, luan ly, pham hanh; co dao duc
morally	co dao duc
more	hon, nhieu hon
moreover	hon nua, ngoai ra, va lai
morning	buoi sang
most	lon nhat, nhieu nhat; nhat, hon ca
mostly	hau het, chu yeu la
mother	me
motion	su chuyen dong, su di dong
motor	dong co mo to
motorcycle	xe mo to
mount	leo, treo; nui
mountain	nui
mouse	chuot
mouth	mieng
move	di chuyen, chuyen dong; su di chuyen, su chuyen dong
movement	su chuyen dong, su hoat dong; cu dong, dong tac
movie	phim xi ne
moving	dong, hoat dong
mr	ong, ngai
mrs	co
ms	ba, co
much	nhieu, lam
mud	bun
multiply	nhan len, lam tang len nhieu lan; sinh soi nay no
mum	me
murder	toi giet nguoi, toi am sat; giet nguoi, am sat
muscle	co, bap thit
museum	bao tang
music	nhac, am nhac
musical	(thuoc) nhac, am nhac; du duong, em ai
musician	nhac si
must	phai, can, nen lam
my	cua toi
myself	tu toi, chinh toi
mysterious	than bi, huyen bi, kho hieu
mystery	dieu huyen bi, dieu than bi
nail	mong (tay, chan) mong vuot
naked	tran, khoa than, tro trui
name	ten; dat ten, goi ten
narrow	hep, chat hep
nation	dan toc, quoc gia
national	(thuoc) quoc gia, dan toc
natural	(thuoc) tu nhien, thien nhien
naturally	von, tu nhien, duong nhien
nature	tu nhien, thien nhien
navy	hai quan
near	gan, can; o gan
nearby	gan
nearly	gan, sap, suyt
neat	sach, ngan nap; ranh mach
neatly	gon gang, ngan nap
necessarily	tat yeu, nhat thiet
necessary	can, can thiet, thiet yeu
neck	co
need	can, doi hoi; su can
needle	cai kim, mui nhon
negative	phu dinh
neighbour	hang xom
neighbourhood	hang xom, lang gieng
neither	khong nay ma cung khong kia
nephew	chau trai (con anh, chi, em)
nerve	khi luc, than kinh, can dam
nervous	hoang so, de bi kich thich, hay lo lang
nervously	bon chon, lo lang
nest	to, o; lam to
net	luoi, mang
network	mang luoi, he thong
never	khong bao gio, khong khi nao
nevertheless	tuy nhien, tuy the ma
new	moi, moi me, moi la
newly	moi
news	tin, tin tuc
newspaper	bao
next	sat, gan, ben canh; lan sau, tiep nua. next to: gan
nice	dep, thu vi, de chiu
nicely	thu vi, de chiu
niece	chau gai
night	dem, toi
no	khong
nobody	khong ai, khong nguoi nao
noise	tieng on, su huyen nao
noisily	on ao, huyen nao
noisy	on ao, huyen nao
none	khong ai, khong nguoi, vat gi
nonsense	loi noi vo ly, vo nghia
nor	cung khong
normal	thuong, binh thuong; tinh trang binh thuong
normally	thong thuong, nhu thuong le
north	phia bac, phuong bac
northern	bac
nose	mui
not	khong
note	loi ghi, loi ghi chep; ghi chu, ghi chep
nothing	khong gi, khong cai gi
notice	thong bao, yet thi; chu y, de y, nhan biet. take notice of chu y
noticeable	dang chu y, dang de y
novel	tieu thuyet, truyen
november	thang 11
now	bay gio, hien gio, hien nay
nowhere	khong noi nao, khong o dau
nuclear	(thuoc) hat nhan
number	so
nurse	y ta
nut	qua hach; dau
o clock	dung gio
obey	vang loi, tuan theo, tuan lenh
object	vat, vat the, doi tuong; phan doi,chong lai
objective	muc tieu, muc dich; (thuoc) muc tieu, khach quan
observation	su quan sat, su theo doi
observe	quan sat, theo doi
obtain	dat duoc, gianh duoc
obvious	ro rang, ranh mach, hien nhien
obviously	mot cach ro rang, co the thay duoc
occasion	dip, co hoi
occasionally	thinh thoang, doi khi
occupied	dang su dung, day (nguoi)
occupy	giu, chiem linh, chiem giu
occur	xay ra, xay den, xuat hien
ocean	dai duong
october	thang 10
odd	ky quac, ky cuc, le (so)
oddly	ky quac, ky cuc, le (so)
of	cua
off	tat; khoi, cach, roi
offence	su vi pham, su pham toi
offend	xuc pham, lam buc minh, lam kho chiu
offensive	su tan cong, cuoc tan cong, si nhuc
offer	bieu, tang, cho; su tra gia
office	co quan, van phong, bo
officer	vien chuc, canh sat, si quan
official	(thuoc) chinh quyen, van phong; vien chuc, cong chuc
officially	mot cach trinh trong, mot cach chinh thuc
often	thuong, hay, luon
oh	chao, oi chao, cha, nay..
oil	dau
old	gia
old-fashioned	loi thoi
on	tren, o tren; tiep tuc, tiep dien
once	mot lan; khi ma, ngay khi, mot khi
onion	cu hanh
only	chi co 1, duy nhat; chi, moi
onto	ve phia tren, len tren
open	mo, ngo; mo, bat dau, khai mac
opening	khe ho, lo; su bat dau, su khai mac, le khanh thanh
openly	cong khai, thang than
operate	hoat dong, dieu khien
operation	su hoat dong, qua trinh hoat dong
opinion	y kien, quan diem
opponent	dich thu, doi thu, ke thu
opportunity	co hoi, thoi co
oppose	doi khang, doi choi, doi lap; chong doi, phan doi
opposing	tinh doi khang, doi choi
opposite	doi nhau, nguoc nhau; truoc mat, doi dien; dieu trai nguoc
opposition	su doi lap, su doi nhau; su chong lai, su phan doi; phe doi lap
option	su lua chon
orange	qua cam; co mau da cam
order	thu, bac; ra lenh. in order to hop le
ordinary	thuong, thong thuong
organ	dan ooc gan
organization	to chuc, co quan; su to chuc
organize	to chuc, thiet lap
organized	co trat tu, ngan nap, duoc sap xep, duoc to chuc
origin	goc, nguon goc, can nguyen
original	(thuoc) goc, nguon goc, can nguyen; nguyen ban
originally	mot cach sang tao, moi me, doc dao; khoi dau, dau tien
other	khac
otherwise	khac, cach khac; neu khong thi...; mat khac
our	cua chung ta, thuoc chung ta, cua chung toi, cua chung minh
ours	cua chung ta, thuoc chung ta, cua chung toi, cua chung minh
ourselves	ban than chung ta, ban than chung toi, ban than chung minh; tu chung minh
out	ngoai, o ngoai, ra ngoai
outdoor	ngoai troi, o ngoai
outdoors	o ngoai troi, o ngoai nha
outer	o phia ngoai, o xa hon
outline	ve, phac tao; duong net, hinh dang, net ngoai
output	su san xuat; san pham, san luong
outside	be ngoai, ben ngoai; o ngoai; ngoai
outstanding	noi bat, dang chu y; con ton lai
oven	lo (nuong)
over	ben tren, vuot qua; len, len tren
overall	toan bo, toan the; tat ca, bao gom
overcome	thang, chien thang, khac phuc, danh bai (kho khan)
owe	no, ham on; co duoc (cai gi)
own	cua chinh minh, tu minh; nhan, nhin nhan
owner	nguoi chu, chu nhan
pace	buoc chan, buoc
pack	goi, boc; bo, goi
package	goi do, buu kien; dong goi, dong kien
packaging	bao bi
packet	goi nho
page	trang (sach)
pain	su dau don, su dau kho
painful	dau don, dau kho
paint	son, voi mau; son, quet son
painter	hoa si
painting	su son; buc hoa, buc tranh
pair	doi, cap
palace	cung dien, lau dai
pale	tai, nhot
pan	xoong, chao
panel	van o (cua, tuong), pa no
pants	quan lot, quan dui dai
paper	giay
parallel	song song, tuong duong
parent	cha, me
park	cong vien, vuon hoa; khoanh vung thanh cong vien
parliament	nghi vien, quoc hoi
part	phan, bo phan
particular	rieng biet, ca biet
particularly	mot cach dac biet, ca biet, rieng biet
partly	den chung muc nao do, phan nao do
partner	doi tac, cong su
partnership	su chung phan, su cong tac
party	tiec, buoi lien hoan; dang
pass	qua, vuot qua, ngang qua
passage	su di qua, su troi qua; hanh lang
passenger	hanh khach
passing	su di qua, su troi qua; thoang qua ngan ngui
passport	ho chieu
past	qua khu, di vang; qua, qua
path	duong mon; huong di
patience	tinh kien nhan, nhan nai, kien tri, su chiu dung
patient	benh nhan; kien nhan, nhan nai, ben chi
pattern	mau, khuon mau
pause	tam nghi, dung; su tam nghi, su tam ngung
pay	tra, thanh toan, nop; tien luong
payment	su tra tien, so tien tra, tien boi thuong
peace	hoa binh, su hoa thuan
peaceful	hoa binh, thai binh, yen tinh
peak	luoi trai; dinh, chop
pen	but
pence	dong xu
pencil	but chi
penny	dong xu
pension	tien tro cap, luong huu
people	dan toc, dong giong; nguoi
pepper	hat tieu, cay ot
per	cho moi
perfect	hoan hao
perfectly	mot cach hoan hao
perform	bieu dien; lam, thuc hien
performance	su lam, su thuc hien, su thi hanh, su bieu dien
performer	nguoi bieu dien, nguoi trinh dien
perhaps	co the, co le
period	ky, thoi ky, thoi gian; thoi dai
permanent	lau dai, vinh cuu, thuong xuyen
permanently	cach thuong xuyen, vinh cuu
permission	su cho phep, giay phep
permit	cho phep, cho co hoi
person	con nguoi, nguoi
personal	ca nhan, tu, rieng tu
personality	nhan cach, tinh cach; nhan pham, ca tinh
personally	dich than, ban than, ve phan toi, doi voi toi
persuade	thuyet phuc
pet	con nong gian; vat cung, nguoi duoc yeu thich
petrol	xang dau
phase	tuan trang; giai doan, thoi ky
philosophy	triet hoc, triet ly
photocopy	ban sao chup; sao chup
photograph	anh, buc anh; chup anh
photographer	tho chup anh, nha nhiep anh
photography	thuat chup anh, nghe nhiep anh
phrase	cau; thanh ngu, cum tu
physical	vat chat; (thuoc) co the, than the
physically	ve than the, theo luat tu nhien
physics	vat ly hoc
piano	dan piano, duong cam
pick	cuoc (dat); dao, khoet (lo). pick sth up cuoc, vo, xe
picture	buc ve, buc hoa
piece	manh, mau; dong tien
pig	con lon
pile	coc, chong, dong, pin; dong coc, chat chong
pill	vien thuoc
pilot	phi cong
pin	dinh ghim; ghim., kep
pink	mau hong; hoa cam chuong, tinh trang tot, hoan hao
pint	panh (don vi (do luong) o anh bang 0, 58 lit; o my bang 0, 473 lit); panh, lit (bia, sua) a pint of beer + mot panh bia
pipe	ong dan (khi, nuoc...)
pitch	san (choi cac mon the thao); dau hac in
pity	long thuong hai, dieu dang tiec, dang thuong
place	noi, dia diem; quang truong. take place: xay ra, duoc cu hanh, duoc to chuc
plain	ngay thang, don gian, chat phac
plan	ban do, ke hoach; ve ban do, lap ke hoach, du kien
plane	mat phang, mat bang, may bay
planet	hanh tinh
planning	su lap ke hoach, su quy hoach
plant	thuc vat, su moc len; trong, gieo
plastic	chat deo, lam bang chat deo
plate	ban, tam kim loai
platform	nen, buc, be; them, san ga
play	choi, danh; su vui choi, tro choi, tran dau
player	nguoi choi 1 tro choi nao do (nhac cu)
pleasant	vui ve, de thuong; diu dang, than mat
pleasantly	vui ve, de thuong; than mat
please	lam vui long, vua long, mong... vui long, xin moi
pleased	hai long
pleasing	mang lai niem vui thich; de chiu
pleasure	niem vui thich, dieu thich thu, dieu thu vi; y muon, y thich
plenty	nhieu (s.k.luong); chi su thua; su sung tuc, su p.phu
plot	manh dat nho, so do, do thi, do an; ve so do, dung do an
plug	nut (thung, chau, bo(n)..), cai phic cam
plus	cong voi (so, nguoi...); dau cong; cong, them vao
pocket	tui (quan ao, trong xe hoi), tui tien
poem	bai tho
poetry	thi ca; chat tho
point	mui nhon, diem; vot, lam nhon, cham (cau..)
pointed	nhon, co dau nhon
poison	chat doc, thuoc doc; danh thuoc doc, tam thuoc doc
poisonous	doc, co chat doc, gay chet, benh
pole	nguoi ba lan; cuc (nam cham, trai dat...)
police	canh sat, cong an
policy	chinh sach
polish	nuoc bong, nuoc lang; danh bong, lam cho lang
polite	le phep, lich su
politely	le phep, lich su
political	ve chinh tri, ve chinh phu, co tinh chinh tri
politically	ve mat chinh tri; khon ngoan, than trong; sao quyet
politician	nha chinh tri, chinh khach
politics	hoat dong chinh tri, doi song chinh tri, quan diem chinh tri
pollution	su o nhiem
pool	vung nuoc; be boi, ho boi
poor	ngheo
pop	tiep bop, phong cach dan gian hien dai; no bop
popular	co tinh dai chung, (thuoc) nhan dan; duoc nhieu nguoi ua chuong
population	dan cu, dan so; mat do dan so
port	cang
pose	dua ra, de ra, dat; su dat, de ra
position	vi tri, cho
positive	khang dinh, xac thuc, ro rang, tich cuc, lac quan
possess	co, chiem huu
possession	quyen so huu, vat so huu
possibility	kha nang, trien vong
possible	co the, co the thuc hien
possibly	co le, co the, co the chap nhan duoc
post	thu, buu kien; gui thu
post office	buu dien
pot	can, binh, lo...
potato	khoai tay
potential	tiem nang; kha nang, tiem luc
potentially	tiem nang, tiem an
pound	pao - don vi do luong
pour	rot, do, gioi
powder	bot, bui
power	kha nang, tai nang, nang luc; suc manh, noi luc; quyen luc
powerful	hung manh, hung cuong
practical	thuc hanh; thuc te
practically	ve mat thuc hanh; thuc te
practice	thuc hanh, thuc tien
practise	thuc hanh, tap luyen
praise	su ca ngoi, su tan duong, long ton kinh, ton tho; khen ngoi, tan duong
prayer	su cau nguyen
precise	ro rang, chinh xac; ti mi, ky tinh
precisely	dung, chinh xac, can than
predict	bao truoc, tien doan, du bao
prefer	thich hon
preference	su thich hon, su ua hon; cai duoc ua thich hon
pregnant	mang thai; giau tri tuong tuong, sang tao
premises	biet thu
preparation	su sua soan, su chuan bi
prepare	sua soan, chuan bi
prepared	da duoc chuan bi
presence	su hien dien, su co mat; nguoi, vat hien dien
present	co mat, hien dien; hien nay, hien thoi; bay to, gioi thieu, trinh bay
presentation	bai thuyet trinh, su trinh dien, su gioi thieu
preserve	bao quan, giu gin
president	hieu truong, chu tinh, tong thong
press	su ep, su nen, su an; ep, nen, bop, an
pressure	suc ep, ap luc, ap suat
presumably	co the duoc, co le
pretend	gia vo, gia bo, lam ra ve
pretty	kha, vua phai; xinh, xinh xan;, dep
prevent	ngan can, ngan chan, ngan ngua
previous	voi vang, hap tap; truoc (vd. ngay hom truoc), uu tien
previously	truoc, truoc day
price	gia
pride	su kieu hanh, su hanh dien; tinh kieu cang, tu phu
priest	linh muc, thay tu
primarily	truoc het, dau tien
primary	nguyen thuy, dau tien; thoi co dai, nguyen sinh; so cap, tieu hoc
prime minister	thu tuong
prince	hoan tu
princess	cong chua
principle	co ban, chu yeu; nguyen ly, nguyen tac
print	in, xuat ban; su in ra
printer	may in, tho in
printing	su in, thuat in, ky sao in
prior	truoc, uu tien
priority	su uu te, quyen uu tien
prison	nha tu
prisoner	tu nhan
private	ca nhan, rieng
privately	rieng tu, ca nhan
prize	giai, giai thuong
probable	co the, co kha nang
probably	hau nhu chac chan
problem	van de, dieu kho giai quyet
procedure	thu tuc
proceed	tien len, theo duoi, tiep dien
process	qua trinh, su tien trien, quy trinh; che bien, gia cong, xu ly
produce	san xuat, che tao
producer	nha san xuat
product	san pham
production	su san xuat, che tao
profession	nghe, nghe nghiep
professional	(thuoc) nghe, nghe nghiep; chuyen nghiep
professor	giao su, giang vien
profit	thuan loi, loi ich, loi nhuan
program	chuong trinh; len chuong trinh
programme	chuong trinh
progress	su tien toi, su tien trien; tien bo, tien trien, phat trien
project	de an, du an, ke hoach; du kien, ke hoach
promise	hua, loi hua
promote	thang chuc, thang cap
promotion	su thang chuc, su thang cap
prompt	mau le, nhanh chong; xui, giuc, nhac nho
promptly	mau le, ngay lap tuc
pronounce	tuyen bo, thong bao, phat am
pronunciation	su phat am
proof	chung, chung co, bang chung; su kiem chung
proper	dung, thich dang, thich hop
properly	mot cach dung dan, mot cach thich dang
property	tai san, cua cai; dat dai, nha cua, bat dong san
proportion	su can xung, su can doi
proposal	su de nghi, de xuat
propose	de nghi, de xuat, dua ra
prospect	vien canh, toan canh; trien vong, mong cho
protect	bao ve, che cho
protection	su bao ve, su che cho
react	tac dong tro lai, phan ung
reaction	su phan ung; su phan tac dung
read	doc
reader	nguoi doc, doc gia
reading	su doc
ready	san sang
real	thuc, thuc te, co that
realistic	hien thuc
reality	su that, thuc te, thuc tai
realize	thuc hien, thuc hanh; thay ro, hieu ro, nhan thuc ro (viec gi...)
really	thuc, thuc ra, thuc su
rear	phia sau; o dang sau, o dang sau
reason	ly do, ly le
reasonable	co ly, hop ly
reasonably	hop ly
recall	goi ve, trieu hoi; nhac lai, goi lai
receipt	cong thuc; don thuoc
receive	nhan, linh, thu
recent	gan day, moi day
recently	gan day, moi day
reception	su nhan, su tiep nhan, su don tiep
reckon	tinh, dem
recognition	su cong nhan, su thua nhan
recognize	nhan ra, nhan dien; cong nhan, thua nhan
recommend	gioi thieu, tien cu; de nghi, khuyen bao
record	ban ghi, su ghi, ban thu, su thu; thu, ghi chep
recording	su ghi, su thu am
recover	lay lai, gianh lai
red	do; mau do
reduce	giam, giam bot
reduction	su giam gia, su ha gia
reference	su tham khao, hoi y kien
reflect	phan chieu, phan hoi, phan anh
reform	cai cach, cai thien, cai tao; su cai cach, su cai thien, cai tao
refrigerator	tu lanh
refusal	su tu choi, su khuoc tu
refuse	tu choi, khuoc tu
regard	nhin, danh gia; cai nhin, su quan tam, su chu y (loi chuc tung cuoi thu)
regarding	ve, ve viec, doi voi (van de...)
region	vung, mien
regional	vung, dia phuong
register	dang ky, ghi vao so; so, so sach, may ghi
regret	dang tiec, hoi tiec; long thuong tiec, su hoi tiec
regular	thuong xuyen, deu dan
regularly	deu dan, thuong xuyen
regulation	su dieu chinh, dieu le, quy tac
reject	khong chap nhan, loai bo, bac bo
relate	ke lai, thuat lai; lien he, lien quan
related	co lien quan, co quan he voi ai, cai gi
relation	moi quan he, su lien quan, lien lac
relationship	moi quan he, moi lien lac
relative	co lien quan den; nguoi co ho, da tu quan he
relatively	co lien quan, co quan he
relax	giai tri, nghi ngoi
relaxed	thanh than, thoai mai
relaxing	lam giam, bot cang thang
release	lam nhe, bot, tha, phong thich, phat hanh; su giai thoat, thoat khoi, su tha, phong thich, su phat hanh
relevant	thich hop, co lien quan
relief	su giam nhe, su lam cho khuay khoa; su tro cap; su den bu
religion	ton giao
religious	(thuoc) ton giao
remain	con lai, van con nhu cu
remaining	con lai
remains	do thua, cai con lai
remark	su nhan xet, phe binh, su de y, chu y; nhan xet, phe binh, de y, chu y
remarkable	dang chu y, dang de y; khac thuong
remarkably	dang chu y, dang de y; khac thuong
remember	nho, nho lai
remind	nhac nho, goi nho
remote	xa, xa xoi, xa cach
removal	viec di chuyen, viec don nha, doi di
remove	doi di, di chuyen
rent	su thue muon; cho thue, thue
rented	duoc thue, duoc muon
repair	sua chua, chinh tu; su sua chua, su chinh tu
repeat	nhac lai, lap lai
repeated	duoc nhac lai, duoc lap lai
repeatedly	lap di lap lai nhieu lan
replace	thay the
reply	su tra loi, su hoi am; tra loi, hoi am
report	bao cao, tuong trinh; ban bao cao, ban tuong trinh
represent	mieu ta, hinh dung; dai dien, thay mat
representative	dieu tieu bieu, tuong trung, mau; mieu ta, bieu hien, dai dien, tuong trung
reproduce	tai san xuat
reputation	su noi tieng, noi danh
request	loi thinh cau, loi de nghi, yeu cau; thinh cau, de nghi, yeu cau
require	doi hoi, yeu cau, quy dinh
requirement	nhu cau, su doi hoi; luat le, thu tuc
rescue	giai thoat, cuu nguy; su giai thoat, su cuu nguy
research	su nghien cuu
reservation	su han che, dieu kien han che
reserve	du tru, de danh, dat truoc, dang ky truoc; su du tru, su de danh, su dat truoc, su dang ky truoc
resident	nguoi sinh song, tru ngu, khach tro; co nha o, cu tru, thuong tru
resist	chong lai, phan doi, khang cu
resistance	su chong lai, su phan doi, su khang cu
resolve	quyet dinh, kien quyet (lam gi); giai quyet (van de, kho kha(n).)
resort	ke sach, phuong ke
resource	tai nguyen; ke sach, thu doan
respect	su kinh trong, su le phep; ton trong, kinh trong, kham phuc
respond	huong ung, phan ung lai, tra loi
response	su tra loi, cau tra loi, su huong ung, su dap lai
responsibility	trach nhiem, su chiu trach nhiem
responsible	chiu trach nhiem ve, chiu trach nhiem truoc ai, gi
rest	su nghi ngoi, luc nghi; nghi, nghi ngoi. the rest vat, cai con lai, nhung nguoi, cai khac
restaurant	nha hang an, hieu an
restore	hoan lai, tra lai; sua chua lai, phuc hoi lai
restrict	han che, gioi han
restricted	bi han che, co gioi han; vung cam
restriction	su han che, su gioi han
result	ket qua; boi, do.. ma ra, ket qua la...
retain	giu lai, nho duoc
retire	roi bo, rut ve; thoi, nghi viec, ve huu
retired	an dat, heo lanh, da ve huu, da nghi viec
retirement	su an dat, noi heo lanh, su ve huu, su nghi viec
return	tro lai, tro ve; su tro lai, su tro ve
reveal	boc lo, bieu lo, tiet lo; phat hien, kham pha
reverse	dao, nguoc lai; dieu trai nguoc, mat trai
review	su xem lai, su xet lai; lam lai, xem xet lai
revise	doc lai, xem lai, sua lai, on lai
revision	su xem lai, su doc lai, su sua lai, su on lai
revolution	cuoc cach mang
reward	su thuong, phan thuong; thuong, thuong cong
rhythm	nhip dieu
rice	gao, thoc, com; cay lua
rich	giau, giau co
rid	giai thoat (get rid of : tong khu)
ride	di, cuoi (ngua); su di, duong di
rider	nguoi cuoi ngua, nguoi di xe dap
ridiculous	buon cuoi, lo bich, lo lang
riding	mon the thao cuoi ngua, su di xe (bus, dien, xe dap)
right	thang, phai, tot; ngay, dung; dieu thien, dieu phai, tot, ben phai
rightly	dung, phai, co ly
ring	chiec nhan, deo nhan cho ai
rise	su len, su tang luong, thang cap; day, dung len, moc (mat troi), thanh dat
risk	su lieu, mao hiem; lieu
rival	doi thu, dich thu; doi dich, canh tranh
river	song
road	con duong, duong pho
rob	cuop, lay trom
rock	da
role	vai (dien), vai tro
roll	cuon, cuon, su lan tron; lan, cuon, quan, cuon
romantic	lang man
roof	mai nha, noc
room	phong, buong
root	goc, re
rope	day cap, day thung, xau, chuoi
rough	go ghe, lom chom
roughly	go ghe, lom chom
round	tron, vong quanh, xung quanh
rounded	bi lam thanh tron; phat trien day du
route	duong di, lo trinh, tuyen duong
routine	thoi thuong, le thuong, thu tuc; thuong le, thong thuong
row	hang, day
royal	(thuoc) vua, nu hoang, hoang gia
rub	co xat, xoa bop, nghien, tan
rubber	cao su
rubbish	vat vo gia tri, bo di, rac ruoi
rude	bat lich su, tho lo; tho so, don gian
rudely	bat lich su, tho lo; tho so, don gian
ruin	lam hong, lam do nat, lam pha san; su hong, su do nat, su pha san
ruined	bi hong, bi do nat, bi pha san
rule	quy tac, dieu le, luat le; cai tri, chi huy, dieu khien
ruler	nguoi cai tri, nguoi tri vi; thuoc ke
rumour	tin don, loi don
run	chay; su chay
runner	nguoi chay
running	su chay, cuoc chay dua
rural	(thuoc) nong thon, vung nong thon
rush	xong len, lao vao, xo day; su xong len, su lao vao, su xo day
sack	bao tai; dong bao, bo vao bao
sad	buon, buon ba
sadly	mot cach buon ba, dang buon la, khong may ma
sadness	su buon rau, su buon ba
safe	an toan, chac chan, dang tin
safely	an toan, chac chan, dang tin
safety	su an toan, su chac chan
sail	di tau, thuyen, nho neo; buom, canh buom, chuyen di bang thuyen buom
sailing	su di thuyen
sailor	thuy thu
salad	sa lat (xa lach trong dau dam); rau song
salary	tien luong
sale	viec ban hang
salt	muoi
salty	chua vi muoi, co muoi, man
same	deu deu, don dieu; cung nhu the, van cai do
sample	mau, hang mau
sand	cat
satisfaction	su lam cho thoa man, toai nguyen su tra no, boi thuong
satisfied	cam thay hai long, vua y, thoa man
satisfy	lam thoa man, hai long; tra (no), chuoc toi
satisfying	dem lai su thoa man, lam thoa man, lam vua y
saturday	thu 7
sauce	nuoc xot, nuoc cham
save	cuu, luu
saving	su cuu, su tiet kiem
say	noi
scale	vay (ca..), ty le
scare	lam kinh hai, so hai, doa; su so hai, su kinh hoang
scared	bi hoang so, bi so hai
scene	canh, phong canh
schedule	ke hoach lam viec, ban liet ke; len thoi khoa bieu, len ke hoach
scheme	su sap xep, su phoi hop; ke hoach thuc hien; luoc do, so do
school	dan ca, bay ca, truong hoc, hoc duong
science	khoa hoc, khoa hoc tu nhien
scientific	(thuoc) khoa hoc, co tinh khoa hoc
scientist	nha khoa hoc
scissors	cai keo
score	diem so, ban thang, ty so; dat duoc, thanh cong, cho diem
scratch	cao, lam xuoc da; su cao, su tray xuoc da
scream	gao thet, keu len; tieng thet, tieng keu to
screen	man che, man anh, man hinh; phim anh noi chung
screw	dinh vit, dinh oc; bat vit, bat oc
sea	bien
seal	hai cau; san hai cau
search	su tim kiem, su tham do, su dieu tra; tim kiem, tham do, dieu tra
season	mua
seat	ghe, cho ngoi
second	thu hai, o vi tri thu 2, thu nhi; nguoi ve nhi
secondary	trung hoc, thu yeu
secret	bi mat; dieu bi mat
secretary	thu ky
secretly	bi mat, rieng tu
section	muc, phan
sector	khu vuc, linh vuc
secure	chac chan, dam bao; bao dam, giu an ninh
security	su an toan, su an ninh
see	nhin, nhin thay, quan sat
seed	hat, hat giong
seek	tim, tim kiem, theo duoi
select	chon lua, chon loc
selection	su lua chon, su choc loc
self	ban than minh
sell	ban
senate	thuong nghi vien, ban giam hieu
senator	thuong nghi si
send	gui, phai di
