//Dictionary
a	nho, mot it
bill	hoa don, giay bac
bin	thung, thung dung ruou
biology	sinh vat hoc
bird	chim
birth	su ra doi, su sinh de
birthday	ngay sinh, sinh nhat
biscuit	banh quy
bit	mieng, manh. a bit mot chut, mot t
bite	can, ngoam; su can, su ngoam
bitter	dang; dang cay, chua xot
bitterly	dang, dang cay, chua xot
black	den; mau den
bowl	cai bat
box	hop, thung
boy	con trai, thieu nien
boyfriend	ban trai
brain	oc nao; dau oc, tri nao
branch	nganh; nhanh cay, nhanh song, >nga duong
brand	nhan (hang hoa)
brave	gan da, can dam
bread	banh my
break	be gay, dap vo; su >gay, su vo
breakfast	bua diem tam, bua sang
breast	nguc, vu
breath	hoi tho, hoi
breathe	hit, tho
breathing	su ho hap, su tho
breed	nuoi duong, cham soc, giao duc; >sinh de; noi giong
brick	gach
bridge	cai cau
brief	ngan, gon, van tat
briefly	ngan, gon, van tat, tom tat
bright	sang, sang choi
brightly	sang choi, tuoi
brilliant	toa sang, ruc ro, choi loi
bring	mang, cam , xach lai
broad	rong
broadcast	tung ra khap noi,truyen rong rai; >phat thanh, quang ba
broadly	rong, rong rai
broken	bi >gay, bi vo
brother	anh, em trai
brown	nau, mau nau
brush	ban chai; chai, quet
bubble	bong bong, bot, tam
budget	ngan sach
build	xay dung
building	su xay >dung, cong trinh xay dung >toa nha
bullet	dan (sung truong, sung luc)
bunch	bui, chum, bo, cum, buong; bay, >dan
burn	dot, dot chay, thap, nung, thieu
burnt	bi dot, bi chay, khe; ram nang, >sam (da)
burst	no, no tung (bom, dan); no, vo >(bong bong); hao huc
bury	chon cat, mai tang
bus	xe buyt
bush	bui cay, bui ram
business	viec buon ban, thuong mai, kinh >doanh
busy	ban, ban ron
but	nhung
butter	bo
button	cai nut, cai khuy, cuc
buy	mua
buyer	nguoi mua
by	boi, bang
bye	tam biet
cabinet	tu co nhieu ngan dung do
cable	day cap
cake	banh ngot
calculate	tinh toan
calculation	su tinh toan
call	goi; tieng keu, tieng goi. be called: >duoc goi, bi goi
calm	yen lang, lam diu di; su yen lang, >su em a
calmly	yen lang, em a; binh tinh, diem tinh
camera	may anh
camp	trai, cho cam trai; cam trai, ha trai
campaign	chien dich, cuoc van dong
camping	su cam trai
can	co the; nha tu, nha giam, binh, ca dung. cannot khong the
cancel	huy bo, xoa bo
cancer	benh ung thu
candidate	nguoi ung cu, thi sinh, nguoi du thi
candy	keo
cap	mu luoi trai, mu vai
capable	co tai, co nang luc; co kha nang, ca gan
capacity	nang luc, kha nang tiep thu, nang suat
capital	thu do, tien von; chu yeu, chinh yeu, co ban
captain	nguoi cam dau, nguoi chi huy, thu linh
capture	bat giu, bat; su bat giu, su bi bat
car	xe hoi
card	the, thiep
cardboard	bia cung, cac tong
care	su cham soc, cham nom; cham soc
career	nghe nghiep, su nghiep
careful	can than, can trong, biet giu gin
carefully	can than, chu dao
careless	so suat, cau tha
carelessly	cau tha, bat can
carpet	tam tham, tham (co)
carrot	cu ca rot
carry	mang, vac, khuan cho
case	vo, ngan, tui,truong hop, canh ngo, hoan canh, tinh the
cash	tien, tien mat
cast	quang, nem, tha, danh guc; su quang, su nem (luoi), su tha (neo)
castle	thanh tri, thanh quach
cat	con meo
catch	bat lay, nam lay, tom lay, chop lay
category	hang, loai; pham tru
cause	nguyen nhan, nguyen do; gay ra, gay nen
cd	dia cd
cease	dung, ngung, ngot, thoi, het, tanh
ceiling	tran nha
celebrate	ky niem, lam le ky niem; tan duong, ca tung
celebration	su ky niem, le ky niem; su tan duong, su ca tung
cell	o, ngan
cent	dong xu (bang 1/100 do la)
centimetre	xen ti met
central	trung tam, o giua, trung uong
centre	diem giua, trung tam, trung uong
century	the ky
ceremony	nghi thuc, nghi le
certain	chac chan
certainly	chac chan, nhat dinh
certificate	giay chung nhan, bang, chung chi
chain	day, xich; xinh lai, troi lai
chair	ghe
challenge	su thu thach, su thach thuc; thach thuc, thu thach 
chamber	buong, phong, buong ngu
chance	su may rui, su tinh co, ngau nhien
change	thay doi, su thay doi, su bien doi
channel	kenh (tv, radio), eo bien
chapter	chuong (sach)
character	tinh cach, dac tinh, nhan vat
characteristic	rieng, rieng biet, dac trung, dac tinh, dac diem
charge	nhiem vu, bon phan, trach nhiem; giao nhiem vu, giao viec. in charge of phu trach
charity	long tu thien, long nhan duc; su bo thi
chart	do thi, bieu do; ve do thi, lap bieu do
chase	san bat; su san bat
chat	noi chuyen, tan gau; chuyen phiem, chuyen gau
cheap	re
cheaply	re, re tien
cheat	lua, lua dao; tro lua dao, tro gian lan
check	kiem tra; su kiem tra
cheek	ma
cheerful	vui mung, phan khoi, ho hoi
cheerfully	vui ve, phan khoi
cheese	pho mat
chemical	thuoc hoa hoc; chat hoa hoc, hoa chat
chemist	nha hoa hoc
chemistry	hoa hoc, mon hoa hoc, nganh hoa hoc
cheque	sec
chest	tu, ruong, hom
chew	nhai, ngam nghi 
chicken	ga, ga con, thit ga
chief	trong yeu, chinh yeu; thu linh, lanh tu, nguoi dung dau, xep
child	dua be, dua tre
chin	cam
chip	vo bao, manh vo, cho sut, me
chocolate	so co la
choice	su lua chon
choose	chon, lua chon
chop	chat, don, che
church	nha tho
cigarette	dieu thuoc la
cinema	rap xi ne, rap chieu bong
circle	duong tron, hinh tron
circumstance	hoan canh, truong hop, tinh huong
citizen	nguoi thanh thi
city	thanh pho
civil	(thuoc) cong dan
claim	doi hoi, yeu sach; su doi hoi, su yeu sach, su thinh cau
clap	vo, vo tay; tieng no, tieng vo tay
class	lop hoc
classic	co dien, kinh dien
classroom	lop hoc, phong hoc
clean	sach, sach se;
clear	lau chui, quet don
clearly	ro rang, sang sua
clerk	thu ky, linh muc, muc su
clever	lanh loi, thong minh. tai gioi, kheo leo
click	lam thanh tieng lach cach; tieng lach cach, cu nhap (chuot)
client	khach hang
climate	khi hau, thoi tiet 
climb	leo, treo
climbing	su leo treo
clock	dong ho
close	dong kin, chat choi, che day
closed	bao thu, khong coi mo, khep kin
closely	chat che, ky luong, ti mi
closet	buong, phong de do, phong kho
cloth	vai, khan trai ban, ao thay tu
clothes	quan ao
clothing	quan ao, y phuc
cloud	may, dam may
club	cau lac bo; gay, dui cui
coach	huan luyen vien
coal	than da
coast	su lao doc; bo bien
coat	ao choang
code	mat ma, luat, dieu le
coffee	ca phe
coin	tien kim loai
cold	lanh, su lanh leo, lanh nhat
coldly	lanh nhat, ho hung, vo tam
collapse	do, sup do; su do nat, su sup do
colleague	ban dong nghiep
collect	suu tap, tap trung lai
collection	su suu tap, su tu hop
college	truong cao dang, truong dai hoc
color	mau sac; to mau
colored	mang mau sac, co mau sac
column	cot , muc (bao)
combination	su ket hop, su phoi hop
combine	ket hop, phoi hop
come	den, toi, di den, di toi
comedy	hai kich 
comfort	su an ui, khuyen giai, loi dong vien, su an nhan; do danh, an ui
comfortable	thoai mai, tien nghi, day du
comfortably	de chiu, thoai mai, tien nghi, am cung
command	ra lenh, chi huy; lenh, menh lenh, quyen ra lenh, quyen chi huy
comment	loi binh luan, loi chu giai; binh luan, phe binh, chu thich, dan giai
commercial	buon ban, thuong mai
commission	hoi dong, uy ban, su uy nhiem, su uy thac; uy nhiem, uy thac
commit	giao, gui, uy nhiem, uy thac; tong giam, bo tu
commitment	su pham toi, su tan tuy, tan tam
committee	uy ban
common	cong, cong cong, thong thuong, pho bien. in common su chung, cua chung
commonly	thong thuong, binh thuong
communicate	truyen, truyen dat; giao thiep, lien lac
communication	su giao tiep, lien lac, su truyen dat, truyen tin
community	dan chung, nhan dan
company	cong ty
compare	so sanh, doi chieu
comparison	su so sanh
compete	dua tranh, ganh dua, canh tranh
competition	su canh tranh, cuoc thi, cuoc thi dau
competitive	canh tranh, dua tranh
complain	phan nan, keu ca
complaint	loi than phien, than tho; su khieu nai, don kien
complete	hoan thanh, xong;
completely	hoan thanh, day du, tron ven
complex	phuc tap, rac roi 
complicate	lam phuc tap, rac roi
complicated	phuc tap, rac roi
computer	may tinh
concentrate	tap trung
concentration	su tap trung, noi tap trung
concept	khai niem
concern	lien quan, dinh liu toi; su lien quan, su dinh liu toi
concerned	co lien quan, co dinh liu
concerning	co lien quan, dinh liu toi
concert	buoi hoa nhac
conclude	ket luan, ket thuc, cham dut (cong viec)
conclusion	su ket thuc, su ket luan, phan ket luan
concrete	bang be tong; be tong
condition	dieu kien, tinh canh, tinh the
conduct	dieu khien, chi dao, chi huy; su dieu khien, chi huy
conference	hoi nghi, su ban bac
confidence	long tin tuong, su tin cay
confident	tin tuong, tin cay, tu tin
confidently	tu tin
confine	giam giu, han che
confined	han che, gioi han
confirm	xac nhan, chung thuc
conflict	xung dot, va cham; su xung dot, su va cham
confront	doi mat, doi dien, doi chieu
confuse	lam lon xon, xao tron
confused	boi roi, lung tung, nguong
confusing	kho hieu, gay boi roi
confusion	su lon xon, su roi loan
congratulations	su chuc mung, khen ngoi; loi chuc mung, khen ngoi (s)
congress	dai hoi, hoi nghi, quoc hoi
connect	ket noi, noi
connection	su ket noi, su giao ket
conscious	tinh tao, co y thuc, biet ro
consequence	ket qua, hau qua
conservative	than trong, de dat, bao thu
consider	can nhac, xem xet; de y, quan tam, luu y den
considerable	lon lao, to tat, dang ke
considerably	dang ke, lon lao, nhieu
consideration	su can nhac, su xem xet, su de y, su quan tam
consist of	gom co
constant	kien tri, ben long
constantly	kien dinh
construct	xay dung
construction	su xay dung
